X,Y,Name,description,Longitude__X_,Latitude__Y_
113.97929,-28.92683,Abrolhos Islands,Longitude (X): 113.97929<br>Latitude (Y): -28.92683,113.97929,-28.92683
115.7512,-32.01783,Cables,Longitude (X): 115.7512<br>Latitude (Y): -32.01783,115.7512,-32.01783
115.75145,-32.00839,Cottosloe,Longitude (X): 115.75145<br>Latitude (Y): -32.00839,115.75145,-32.00839
114.98651,-33.97835,Gas Bay,Longitude (X): 114.98651<br>Latitude (Y): -33.97835,114.98651,-33.97835
113.53999,-23.76673,Gnaraloo,Longitude (X): 113.53999<br>Latitude (Y): -23.76673,113.53999,-23.76673
114.99162,-33.69444,Injidup Carpark,Longitude (X): 114.99162<br>Latitude (Y): -33.69444,114.99162,-33.69444
114.15068,-27.73414,Jake's Point,Longitude (X): 114.15068<br>Latitude (Y): -27.73414,114.15068,-27.73414
114.98259,-33.87952,Lefthanders,Longitude (X): 114.98259<br>Latitude (Y): -33.87952,114.98259,-33.87952
114.98321,-33.97652,Margaret River,Longitude (X): 114.98321<br>Latitude (Y): -33.97652,114.98321,-33.97652
114.9855,-33.85883,North Point,Longitude (X): 114.9855<br>Latitude (Y): -33.85883,114.9855,-33.85883
115.47573,-32.01595,Rottnest Island,Longitude (X): 115.47573<br>Latitude (Y): -32.01595,115.47573,-32.01595
115.75471,-31.89111,Scarborough,Longitude (X): 115.75471<br>Latitude (Y): -31.89111,115.75471,-31.89111
115.01672,-33.65871,Smiths Beach,Longitude (X): 115.01672<br>Latitude (Y): -33.65871,115.01672,-33.65871
114.976,-33.86409,South Point,Longitude (X): 114.976<br>Latitude (Y): -33.86409,114.976,-33.86409
115.01816,-33.65644,Supertubes,Longitude (X): 115.01816<br>Latitude (Y): -33.65644,115.01816,-33.65644
113.44102,-24.0312,The Bluff,Longitude (X): 113.44102<br>Latitude (Y): -24.0312,113.44102,-24.0312
113.48381,-23.88317,Tombstones,Longitude (X): 113.48381<br>Latitude (Y): -23.88317,113.48381,-23.88317
115.75144,-31.87621,Trigg Point,Longitude (X): 115.75144<br>Latitude (Y): -31.87621,115.75144,-31.87621
113.61334,-23.64858,Warroora Station,Longitude (X): 113.61334<br>Latitude (Y): -23.64858,113.61334,-23.64858
115.02513,-33.63854,Yallingup,Longitude (X): 115.02513<br>Latitude (Y): -33.63854,115.02513,-33.63854
133.1091,-32.1404,Cactus,Longitude (X): 133.1091<br>Latitude (Y): -32.1404,133.1091,-32.1404
138.7195,-35.5141,Middleton,Longitude (X): 138.7195<br>Latitude (Y): -35.5141,138.7195,-35.5141
137.7378,-35.8547,Pennington Bay,Longitude (X): 137.7378<br>Latitude (Y): -35.8547,137.7378,-35.8547
138.49912,-35.63433,Waitpinga,Longitude (X): 138.49912<br>Latitude (Y): -35.63433,138.49912,-35.63433
144.4677,-38.2864,13th Beach,Longitude (X): 144.4677<br>Latitude (Y): -38.2864,144.4677,-38.2864
144.28282,-38.36868,Bells Beach,Longitude (X): 144.28282<br>Latitude (Y): -38.36868,144.28282,-38.36868
145.14353,-38.50563,Cat Bay,Longitude (X): 145.14353<br>Latitude (Y): -38.50563,145.14353,-38.50563
145.26305,-38.50771,Express Point,Longitude (X): 145.26305<br>Latitude (Y): -38.50771,145.26305,-38.50771
144.85924,-38.44856,Gunnamatta,Longitude (X): 144.85924<br>Latitude (Y): -38.44856,144.85924,-38.44856
144.3067,-38.3472,Jan Juc,Longitude (X): 144.3067<br>Latitude (Y): -38.3472,144.3067,-38.3472
143.3735,-38.7602,Johanna,Longitude (X): 143.3735<br>Latitude (Y): -38.7602,143.3735,-38.7602
145.07075,-38.42461,Point Leo,Longitude (X): 145.07075<br>Latitude (Y): -38.42461,145.07075,-38.42461
142.9775,-38.6249,Two Mile/Easter Reef,Longitude (X): 142.9775<br>Latitude (Y): -38.6249,142.9775,-38.6249
144.28591,-38.3675,Winkipop,Longitude (X): 144.28591<br>Latitude (Y): -38.3675,144.28591,-38.3675
144.3155,-38.3458,Woolamai,Longitude (X): 144.3155<br>Latitude (Y): -38.3458,144.3155,-38.3458
153.45767,-28.09002,Burleigh Heads,Longitude (X): 153.45767<br>Latitude (Y): -28.09002,153.45767,-28.09002
153.13439,-26.80756,Caloundra,Longitude (X): 153.13439<br>Latitude (Y): -26.80756,153.13439,-26.80756
153.53526,-28.16562,Kirra,Longitude (X): 153.53526<br>Latitude (Y): -28.16562,153.53526,-28.16562
153.13643,-26.69599,Mooloolaba,Longitude (X): 153.13643<br>Latitude (Y): -26.69599,153.13643,-26.69599
153.08373,-26.38322,Noosa Heads,Longitude (X): 153.08373<br>Latitude (Y): -26.38322,153.08373,-26.38322
153.5311,-27.45428,North Stradbroke Island,Longitude (X): 153.5311<br>Latitude (Y): -27.45428,153.5311,-27.45428
153.54979,-28.16244,Snapper Rocks,Longitude (X): 153.54979<br>Latitude (Y): -28.16244,153.54979,-28.16244
153.54694,-28.16413,Superbank,Longitude (X): 153.54694<br>Latitude (Y): -28.16413,153.54694,-28.16413
153.48645,-28.12528,The Alley,Longitude (X): 153.48645<br>Latitude (Y): -28.12528,153.48645,-28.12528
153.36592,-29.48318,Angourie,Longitude (X): 153.36592<br>Latitude (Y): -29.48318,153.36592,-29.48318
151.33304,-33.63465,Avalon,Longitude (X): 151.33304<br>Latitude (Y): -33.63465,151.33304,-33.63465
150.68922,-35.17635,Black Rock,Longitude (X): 150.68922<br>Latitude (Y): -35.17635,150.68922,-35.17635
151.27663,-33.8912,Bondi,Longitude (X): 151.27663<br>Latitude (Y): -33.8912,151.27663,-33.8912
153.61503,-28.70435,Broken Head,Longitude (X): 153.61503<br>Latitude (Y): -28.70435,153.61503,-28.70435
153.57258,-28.33327,Cabarita,Longitude (X): 153.57258<br>Latitude (Y): -28.33327,153.57258,-28.33327
151.155,-34.05586,Cronulla,Longitude (X): 151.155<br>Latitude (Y): -34.05586,151.155,-34.05586
151.29549,-33.76982,Curl Curl,Longitude (X): 151.29549<br>Latitude (Y): -33.76982,151.29549,-33.76982
151.297667,-33.754903,Dee Why Point,Longitude (X): 151.297667<br>Latitude (Y): -33.754903,151.297667,-33.754903
153.55172,-28.16704,Duranbah,Longitude (X): 153.55172<br>Latitude (Y): -28.16704,153.55172,-28.16704
150.47561,-35.34583,Golf Course Reef,Longitude (X): 150.47561<br>Latitude (Y): -35.34583,150.47561,-35.34583
150.51537,-35.27237,Green Island,Longitude (X): 150.51537<br>Latitude (Y): -35.27237,150.51537,-35.27237
153.59557,-28.79941,Lennox Head,Longitude (X): 153.59557<br>Latitude (Y): -28.79941,153.59557,-28.79941
151.28781,-33.79411,Manly,Longitude (X): 151.28781<br>Latitude (Y): -33.79411,151.28781,-33.79411
151.25689,-33.94874,Maroubra,Longitude (X): 151.25689<br>Latitude (Y): -33.94874,151.25689,-33.94874
149.92016,-36.89486,Merimbula Bar,Longitude (X): 149.92016<br>Latitude (Y): -36.89486,149.92016,-36.89486
150.15062,-35.9041,Moruya Breakwall,Longitude (X): 150.15062<br>Latitude (Y): -35.9041,150.15062,-35.9041
151.32411,-33.65133,Newport,Longitude (X): 151.32411<br>Latitude (Y): -33.65133,151.32411,-33.65133
151.30506,-33.70603,North Narrabeen,Longitude (X): 151.30506<br>Latitude (Y): -33.70603,151.30506,-33.70603
153.5905,-28.8709,North Wall Ballina,Longitude (X): 153.5905<br>Latitude (Y): -28.8709,153.5905,-28.8709
149.91464,-36.94563,Pambula Rivermouth,Longitude (X): 149.91464<br>Latitude (Y): -36.94563,149.91464,-36.94563
153.3688,-29.44012,Pippies,Longitude (X): 153.3688<br>Latitude (Y): -29.44012,153.3688,-29.44012
150.92934,-34.33081,Sandon Point,Longitude (X): 150.92934<br>Latitude (Y): -34.33081,150.92934,-34.33081
153.5851,-28.877,South Wall Ballina,Longitude (X): 153.5851<br>Latitude (Y): -28.877,153.5851,-28.877
153.63255,-28.64469,Tallows,Longitude (X): 153.63255<br>Latitude (Y): -28.64469,153.63255,-28.64469
153.62815,-28.63783,The Pass,Longitude (X): 153.62815<br>Latitude (Y): -28.63783,153.62815,-28.63783
152.50863,-32.17285,Tuncurry Breakwall,Longitude (X): 152.50863<br>Latitude (Y): -32.17285,152.50863,-32.17285
150.48102,-35.36737,Ulladulla Bommie,Longitude (X): 150.48102<br>Latitude (Y): -35.36737,150.48102,-35.36737
150.8329,-34.7403,Werri Beach,Longitude (X): 150.8329<br>Latitude (Y): -34.7403,150.8329,-34.7403
151.33167,-33.60983,Whale Beach,Longitude (X): 151.33167<br>Latitude (Y): -33.60983,151.33167,-33.60983
150.87933,-34.54601,Windang Island,Longitude (X): 150.87933<br>Latitude (Y): -34.54601,150.87933,-34.54601
-43.191604,-22.98938,Arpoador,Longitude (X): -43.191604<br>Latitude (Y): -22.98938,-43.191604,-22.98938
-50.02555,-29.78506,Atlântida Pier,Longitude (X): -50.02555<br>Latitude (Y): -29.78506,-50.02555,-29.78506
-43.36621,-23.01113,Barra da Tijuca,Longitude (X): -43.36621<br>Latitude (Y): -23.01113,-43.36621,-23.01113
-48.8607,-28.6152,Camacho,Longitude (X): -48.8607<br>Latitude (Y): -28.6152,-48.8607,-28.6152
-49.9544,-29.6571,Capão da Canoa,Longitude (X): -49.9544<br>Latitude (Y): -29.6571,-49.9544,-29.6571
-48.82511,-28.60588,Cardoso,Longitude (X): -48.82511<br>Latitude (Y): -28.60588,-48.82511,-28.60588
-50.19122,-30.1481,Cidreira,Longitude (X): -50.19122<br>Latitude (Y): -30.1481,-50.19122,-30.1481
-32.43434,-3.84779,Cacimba do Padre,Longitude (X): -32.43434<br>Latitude (Y): -3.84779,-32.43434,-3.84779
-48.62783,-28.07722,Ferrugem,Longitude (X): -48.62783<br>Latitude (Y): -28.07722,-48.62783,-28.07722
-43.53309,-23.0496,Grumari,Longitude (X): -43.53309<br>Latitude (Y): -23.0496,-43.53309,-23.0496
-48.5829,-27.9009,Guarda do Embau,Longitude (X): -48.5829<br>Latitude (Y): -27.9009,-48.5829,-27.9009
-49.73672,-29.35871,Guarita,Longitude (X): -49.73672<br>Latitude (Y): -29.35871,-49.73672,-29.35871
-48.65038,-28.15206,Ibiraquera,Longitude (X): -48.65038<br>Latitude (Y): -28.15206,-48.65038,-28.15206
-49.70453,-29.34678,Ilha dos Lobos,Longitude (X): -49.70453<br>Latitude (Y): -29.34678,-49.70453,-29.34678
-43.20747,-22.98667,Ipanema,Longitude (X): -43.20747<br>Latitude (Y): -22.98667,-43.20747,-22.98667
-43.03349,-22.9744,Itacoatiara,Longitude (X): -43.03349<br>Latitude (Y): -22.9744,-43.03349,-22.9744
-49.75964,-29.38686,Itapeva,Longitude (X): -49.75964<br>Latitude (Y): -29.38686,-49.75964,-29.38686
-48.7124,-28.345,Itapirubá,Longitude (X): -48.7124<br>Latitude (Y): -28.345,-48.7124,-28.345
-49.01675,-28.7333,Laje da Jagua,Longitude (X): -49.01675<br>Latitude (Y): -28.7333,-49.01675,-28.7333
-43.22223,-22.98728,Leblon,Longitude (X): -43.22223<br>Latitude (Y): -22.98728,-43.22223,-22.98728
-49.3547,-28.9325,Morro dos Conventos,Longitude (X): -49.3547<br>Latitude (Y): -28.9325,-49.3547,-28.9325
-51.05973,0.000928,Pororoca,Longitude (X): -51.05973<br>Latitude (Y): 0.000928,-51.05973,0.000928
-49.73101,-29.34975,Praia da Cal,Longitude (X): -49.73101<br>Latitude (Y): -29.34975,-49.73101,-29.34975
-43.48881,-23.03414,Praia da Macumba,Longitude (X): -43.48881<br>Latitude (Y): -23.03414,-43.48881,-23.03414
-48.50053,-26.23027,Praia da Saudade,Longitude (X): -48.50053<br>Latitude (Y): -26.23027,-48.50053,-26.23027
-48.65796,-28.241,Praia da Vila,Longitude (X): -48.65796<br>Latitude (Y): -28.241,-48.65796,-28.241
-48.60873,-28.03897,Praia do Silveira,Longitude (X): -48.60873<br>Latitude (Y): -28.03897,-48.60873,-28.03897
-49.71391,-29.3264,Praia dos Molhes,Longitude (X): -49.71391<br>Latitude (Y): -29.3264,-49.71391,-29.3264
-38.98913,-14.30802,Prainha,Longitude (X): -38.98913<br>Latitude (Y): -14.30802,-38.98913,-14.30802
-49.72688,-29.34461,Prainha,Longitude (X): -49.72688<br>Latitude (Y): -29.34461,-49.72688,-29.34461
-49.51111,-29.08946,Rincão,Longitude (X): -49.51111<br>Latitude (Y): -29.08946,-49.51111,-29.08946
-48.64262,-28.13139,Rosa,Longitude (X): -48.64262<br>Latitude (Y): -28.13139,-48.64262,-28.13139
-43.26688,-22.99989,São Conrado,Longitude (X): -43.26688<br>Latitude (Y): -22.99989,-43.26688,-22.99989
-50.1312,-30.00477,Tramandaí,Longitude (X): -50.1312<br>Latitude (Y): -30.00477,-50.1312,-30.00477
-125.89423,49.11852,Chesterman Beach,Longitude (X): -125.89423<br>Latitude (Y): 49.11852,-125.89423,49.11852
-125.8737,49.10385,Cox Bay,Longitude (X): -125.8737<br>Latitude (Y): 49.10385,-125.8737,49.10385
-73.54293,45.50039,Habitat 67,Longitude (X): -73.54293<br>Latitude (Y): 45.50039,-73.54293,45.50039
-60.39161,46.64493,Ingonish Beach,Longitude (X): -60.39161<br>Latitude (Y): 46.64493,-60.39161,46.64493
-81.64089,44.17673,Kincardine,Longitude (X): -81.64089<br>Latitude (Y): 44.17673,-81.64089,44.17673
-63.34292,44.64396,Lawrencetown Beach,Longitude (X): -63.34292<br>Latitude (Y): 44.64396,-63.34292,44.64396
-125.8735,49.10394,Long Beach,Longitude (X): -125.8735<br>Latitude (Y): 49.10394,-125.8735,49.10394
-63.13876,44.69118,Martinique,Longitude (X): -63.13876<br>Latitude (Y): 44.69118,-63.13876,44.69118
-63.416053,44.63149,Minutes,Longitude (X): -63.416053<br>Latitude (Y): 44.63149,-63.416053,44.63149
-63.41738,44.61765,Osbourne,Longitude (X): -63.41738<br>Latitude (Y): 44.61765,-63.41738,44.61765
-63.25682,44.65699,Right Point,Longitude (X): -63.25682<br>Latitude (Y): 44.65699,-63.25682,44.65699
-125.90231,49.12885,Rosie's Bay,Longitude (X): -125.90231<br>Latitude (Y): 49.12885,-125.90231,49.12885
-80.0224,44.52221,Wasaga Beach,Longitude (X): -80.0224<br>Latitude (Y): 44.52221,-80.0224,44.52221
-125.6769,49.0217,Wickaninnish,Longitude (X): -125.6769<br>Latitude (Y): 49.0217,-125.6769,49.0217
-79.14532,42.87004,Wyldewood Beach,Longitude (X): -79.14532<br>Latitude (Y): 42.87004,-79.14532,42.87004
