lat,lon,spot_name,closest_water,closest_region,distance_km,country
-33.671782783644,18.407592773438,11Th Ave Melkbos Strand,South Atlantic Ocean,Atlantic Ocean,0.2,South Africa
33.595175061468,-78.980884552002,13Th Ave South Surfside,North Atlantic Ocean,Atlantic Ocean,0.42,United States
-38.2864,144.4677,13Th Beach,Bass Strait,Bass Strait,1.42,Australia
28.295557652054,-80.608985424042,13Th Street,North Atlantic Ocean,Atlantic Ocean,1.12,United States
30.506121716054,-9.6858966350555,14Th Km,North Atlantic Ocean,Atlantic Ocean,0.96,Morocco
32.958805616471,-117.26961135864,15Th St,North Pacific Ocean,Pacific Ocean,0.03,United States
-33.359011501838,18.154660463333,16 Mile Beach,South Atlantic Ocean,Atlantic Ocean,0,South Africa
30.335083520857,-87.114865779877,17Th Ave,Gulf of Mexico,Gulf of Mexico,0,United States
33.663424992738,-118.01432132721,17Th Street,North Pacific Ocean,Pacific Ocean,0,United States
41.487218449774,-71.291527748108,1St Beach,North Atlantic Ocean,Atlantic Ocean,0,United States
36.830412875926,-75.967771410942,1St Street Jetty,North Atlantic Ocean,Atlantic Ocean,0.82,United States
-8.707180455719,114.37447786331,20 20s,Indian Ocean,Indian Ocean,0,Indonesia
49.334964966094,-123.19472908974,29Th Street,Salish Sea,Salish Sea,0,Canada
33.683496610692,-78.885655403137,2Nd Avenue Pier,North Atlantic Ocean,Atlantic Ocean,0,United States
41.487748890187,-71.258418560028,2Nd Beach,North Atlantic Ocean,Atlantic Ocean,0,United States
-31.966744587332,152.59743690491,2Nd Corner,Tasman Sea,Tasman Sea,2.36,Australia
28.252735731286,-80.603331327438,2Nd Light,North Atlantic Ocean,Atlantic Ocean,1.3,United States
-31.845587214995,115.75018823147,2Nds,Geographe Bay,Geographe Bay,1.96,Australia
31.897257421069,-116.71371281147,3 Emes,North Pacific Ocean,Pacific Ocean,0,Mexico
36.961500196913,-122.1173286438,3 Mile,Monterey Bay,Monterey Bay,0,United States
-35.177614339396,138.46675515175,3 Poles Reef,Gulf St Vincent,Gulf St Vincent,1.06,Australia
-35.24670558569,150.54265022278,3 Way,Tasman Sea,Tasman Sea,0.68,Australia
32.795247488814,-79.766889810562,"35Th Street,Iop",North Atlantic Ocean,Atlantic Ocean,0,United States
33.615155376281,-117.93722391129,36Th Street,North Pacific Ocean,Pacific Ocean,0.28,United States
38.006066734238,128.7326592207,38Th Parallel,Sea of Japan,Pacific Ocean,1.77,South Korea
39.387917291121,-74.386324882507,38Th St Beach,North Atlantic Ocean,Atlantic Ocean,0,United States
-33.772762043212,18.444328308105,3De Steen,South Atlantic Ocean,Atlantic Ocean,0,South Africa
-31.833670075763,115.74690520763,3Rd Groyne,Geographe Bay,Geographe Bay,1.88,Australia
-1.9091219602854,99.310655593872,4 Bobs,Indian Ocean,Indian Ocean,0,Indonesia
36.965563579633,-122.12505340576,4 Mile,Monterey Bay,Monterey Bay,0,United States
19.735198843714,-155.02799034119,4 Miles,North Pacific Ocean,Pacific Ocean,0.54,United States
33.617299678724,-117.93889760971,40Th Street,North Pacific Ocean,Pacific Ocean,0.41,United States
7.2385158124997,-80.519651770592,411 Quatro-Once),North Pacific Ocean,Pacific Ocean,0,Panama
36.870935151143,-75.982003211975,42Nd St Va Beach,North Atlantic Ocean,Atlantic Ocean,0.76,United States
43.638792795902,10.28497338295,46,Tyrrhenian Sea,Mediterranean Sea,0,Italy
33.720658692791,-78.844730257988,48Th St Myrtle Beach,North Atlantic Ocean,Atlantic Ocean,0,United States
38.373230429205,-75.06695151329,48Th Street(Ocean City),North Atlantic Ocean,Atlantic Ocean,0.16,United States
-32.504749211233,115.73548436165,4Th Groyne,Geographe Bay,Geographe Bay,1.98,Australia
-2.7312133615029,-80.246887207031,5 1 2Km&8 1 2Km,Golfo De Guayaquil,Golfo De Guayaquil,0,Ecuador
26.331547281289,127.74185121059,5 Rocks,East China Sea,Pacific Ocean,1.43,Japan
33.623223036949,-117.94518470764,56Th St,North Pacific Ocean,Pacific Ocean,0.68,United States
39.221556798184,-74.635705947876,57Th Street,North Atlantic Ocean,Atlantic Ocean,0.27,United States
39.62155713954,-74.193077087402,58Th Street,North Atlantic Ocean,Atlantic Ocean,0,United States
39.564428398249,-74.233160018921,5Th Street Beach Haven,North Atlantic Ocean,Atlantic Ocean,0,United States
-33.978447519377,25.655876398087,6 Pillars,Indian Ocean,Indian Ocean,0,South Africa
39.64953,-74.17294,7 11,North Atlantic Ocean,Atlantic Ocean,0,United States
11.320374195181,-74.098470211029,7 Olas,Caribbean Sea,Caribbean Sea,1.19,Colombia
9.2442786704715,126.09146118164,7 Rocks,NA,NA,1.89,Philippines
